Filename,Pruning_Layer,Tokens_Kept,Variant_ID,church outdoor,shop,monestary,chapel,library,building,road,street
Church outdoor.jpg_2_25_f,2,25,3,0.6011573672294617,0.007227336522191763,0.012024540454149246,0.2770712971687317,0.009278915822505951,0.05648629739880562,0.0006353051285259426,0.036118973046541214
Church outdoor.jpg_2_25_f,2,25,4,0.4598686397075653,0.019478369504213333,0.008472640998661518,0.25229933857917786,0.010149168781936169,0.15741731226444244,0.0013135647168383002,0.09100107848644257
Church outdoor.jpg_2_25_g,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_g,2,25,1,0.5890483260154724,0.0007354341214522719,0.0038486765697598457,0.33890971541404724,0.010725581087172031,0.04369191825389862,0.00042107279296033084,0.012619372457265854
Church outdoor.jpg_2_25_g,2,25,2,0.5773624181747437,0.0011671457905322313,0.0041077653877437115,0.33762407302856445,0.0087742293253541,0.05858226120471954,0.00046582496725022793,0.011916222982108593
Church outdoor.jpg_2_25_g,2,25,3,0.6814983487129211,0.0012579705798998475,0.00829679612070322,0.21988622844219208,0.008524092845618725,0.062091827392578125,0.0006427131593227386,0.017802096903324127
Church outdoor.jpg_2_25_g,2,25,4,0.5983748435974121,0.0038455002941191196,0.008414048701524734,0.24846158921718597,0.007877672091126442,0.08478735387325287,0.0008163824095390737,0.0474226213991642
Church outdoor.jpg_2_25_h,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_h,2,25,1,0.5811859369277954,0.0007108438294380903,0.0023608023766428232,0.3257223665714264,0.013233540579676628,0.06895500421524048,0.00029307606746442616,0.0075384750962257385
Church outdoor.jpg_2_25_h,2,25,2,0.5601683855056763,0.0035079955123364925,0.0047233253717422485,0.3334560692310333,0.010009011253714561,0.06437590718269348,0.0008400501683354378,0.022919246926903725
Church outdoor.jpg_2_25_h,2,25,3,0.6148256659507751,0.0029300334863364697,0.010665799491107464,0.24850301444530487,0.005849617067724466,0.07772847265005112,0.0010772147215902805,0.03842022642493248
Church outdoor.jpg_2_25_h,2,25,4,0.4747651219367981,0.00420620571821928,0.009655538946390152,0.29052048921585083,0.015347675420343876,0.1609049290418625,0.00097769929561764,0.043622419238090515
Church outdoor.jpg_2_25_i,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
